purchase_id,user_id,purchase_timestamp,price_usd,day_since_install
1,1,2024-03-21,19.99,29
2,1,2024-03-14,9.99,22
3,1,2024-03-11,4.99,19
4,1,2024-02-27,19.99,6
5,1,2024-03-11,4.99,19
6,4,2024-04-05,0.99,21
7,4,2024-03-23,1.99,8
8,5,2024-02-15,0.99,22
9,5,2024-02-01,0.99,8
10,5,2024-01-30,4.99,6
11,6,2024-03-14,9.99,21
12,6,2024-03-16,4.99,23
13,6,2024-03-17,19.99,24
14,6,2024-03-07,9.99,14
15,8,2024-03-11,99.99,7
16,8,2024-04-01,99.99,28
17,8,2024-03-24,19.99,20
18,8,2024-04-02,99.99,29
19,8,2024-03-29,99.99,25
20,8,2024-03-25,19.99,21
21,8,2024-03-20,49.99,16
22,8,2024-03-11,49.99,7
23,8,2024-03-20,49.99,16
24,8,2024-03-14,49.99,10
25,8,2024-04-01,49.99,28
26,8,2024-03-20,19.99,16
27,8,2024-03-11,49.99,7
28,8,2024-03-14,49.99,10
29,8,2024-03-26,49.99,22
30,8,2024-04-02,99.99,29
31,8,2024-03-24,19.99,20
32,8,2024-03-25,99.99,21
33,8,2024-03-20,99.99,16
34,8,2024-03-29,99.99,25
35,8,2024-03-07,99.99,3
36,8,2024-03-23,19.99,19
37,8,2024-04-01,19.99,28
38,8,2024-03-17,99.99,13
39,8,2024-03-17,49.99,13
40,8,2024-03-06,49.99,2
41,8,2024-03-25,99.99,21
42,16,2024-03-04,99.99,9
43,16,2024-03-18,49.99,23
44,16,2024-03-14,19.99,19
45,16,2024-03-01,49.99,6
46,16,2024-03-24,99.99,29
47,16,2024-03-10,19.99,15
48,16,2024-03-19,49.99,24
49,16,2024-02-26,49.99,2
50,16,2024-03-01,99.99,6
51,16,2024-03-24,99.99,29
52,16,2024-03-19,19.99,24
53,16,2024-03-21,49.99,26
54,16,2024-02-24,49.99,0
55,16,2024-03-22,99.99,27
56,16,2024-03-24,49.99,29
57,16,2024-03-07,19.99,12
58,16,2024-03-14,99.99,19
59,16,2024-03-02,49.99,7
60,16,2024-03-02,49.99,7
61,16,2024-02-26,49.99,2
62,16,2024-03-06,99.99,11
63,16,2024-03-15,49.99,20
64,16,2024-03-07,19.99,12
65,16,2024-03-16,49.99,21
66,16,2024-03-24,49.99,29
67,16,2024-03-24,99.99,29
68,16,2024-03-11,99.99,16
69,16,2024-03-20,49.99,25
70,16,2024-03-08,19.99,13
71,16,2024-02-25,99.99,1
72,16,2024-03-13,19.99,18
73,16,2024-03-21,49.99,26
74,16,2024-03-01,99.99,6
75,16,2024-03-12,19.99,17
76,16,2024-03-21,49.99,26
77,16,2024-03-15,49.99,20
78,17,2024-01-11,1.99,8
79,17,2024-01-14,4.99,11
80,20,2024-04-05,4.99,7
81,20,2024-04-21,9.99,23
82,20,2024-04-10,19.99,12
83,22,2024-01-29,1.99,27
84,26,2024-02-23,1.99,4
85,30,2024-01-29,0.99,11
86,30,2024-02-08,4.99,21
87,32,2024-01-19,1.99,5
88,36,2024-04-14,0.99,25
89,44,2024-04-05,0.99,15
90,44,2024-03-22,0.99,1
91,45,2024-02-24,0.99,20
92,46,2024-01-12,19.99,7
93,46,2024-01-08,9.99,3
94,46,2024-01-07,9.99,2
95,46,2024-01-29,4.99,24
96,47,2024-02-26,4.99,16
97,47,2024-02-18,4.99,8
98,47,2024-02-14,9.99,4
99,50,2024-02-05,1.99,13
100,50,2024-02-14,0.99,22
101,51,2024-02-13,4.99,7
102,51,2024-02-26,0.99,20
103,52,2024-03-26,9.99,0
104,52,2024-04-05,9.99,10
105,52,2024-04-08,19.99,13
106,52,2024-04-10,9.99,15
107,52,2024-04-19,4.99,24
108,52,2024-03-30,19.99,4
109,52,2024-04-24,4.99,29
110,54,2024-03-14,0.99,27
111,54,2024-03-03,0.99,16
112,55,2024-01-24,4.99,23
113,55,2024-01-17,4.99,16
114,55,2024-01-27,1.99,26
115,57,2024-01-30,4.99,21
116,61,2024-01-13,9.99,9
117,61,2024-02-02,19.99,29
118,61,2024-01-18,9.99,14
